機器番号,型式,製造番号,機器分類,簡易表示,部署名
DC-9992,ECG-2550-01,20623,検査機器,ECG-2550,管理部
DC-7055,ECG-3150,86,検査機器,ECG-3150,管理部
DC-7056,ECG-3150,87,検査機器,ECG-3150,管理部
DC-10413,ECG-3150,1585,検査機器,ECG-3150,管理部
DC-10414,ECG-3150,1586,検査機器,ECG-3150,管理部
TB-0764,ECG-3150,00956,検査機器,ECG-3150,管理部
DC-7630,ECG-3250,14,検査機器,ECG-3250,管理部
DC-7631,ECG-3250,15,検査機器,ECG-3250,管理部
DC-7729,ECG-3250,372,検査機器,ECG-3250,管理部
TB-0767,ECG-3250,00504,検査機器,ECG-3250,管理部
DC-10464,ECG-3250,2240,検査機器,ECG-3250,管理部
DC-7391,ECG-3350,20,検査機器,ECG-3350,管理部
DC-7392,ECG-3350,21,検査機器,ECG-3350,管理部
DC-7834,ECG-3350,1294,検査機器,ECG-3350,管理部
DC-10552,ECG-3350,2699,検査機器,ECG-3350,管理部
DC-10553,ECG-3350,2700,検査機器,ECG-3350,管理部
DC-10554,ECG-3350,2701,検査機器,ECG-3350,管理部
DC-8339,ECS-3D,436,検査機器,ECS-3D,管理部
DC-7700,EEG-1260-NE,10009,検査機器,EEG-1260-NE,システム
DC-8284,EEG-1290-NE,10001,検査機器,EEG-1290-NE,システム
DC-7011,EMS-1052,53,治療器救急関連機器,EMS-1052,管理部
DC-7140,EMS-1052,166,治療器救急関連機器,EMS-1052,管理部
DC-10559,EMS-1052,2972,治療器救急関連機器,EMS-1052,管理部
なし,ESI-ENSITEX,19199110,WJ循環器AF,ESI-ENSITEX,循環器
なし,ESI-ENSITEX,19224332,WJ循環器AF,ESI-ENSITEX,循環器
なし,ESI-ENSITEX,19397852,WJ循環器AF,ESI-ENSITEX,循環器
なし,ESI-ENSITEX,19442420,WJ循環器AF,ESI-ENSITEX,循環器
なし,ESI-ENSITEX,19913302,WJ循環器AF,ESI-ENSITEX,循環器
DC-5132,EV2750-BK,45014066,システム,EV2750-BK,システム
DC-7483,GAIA(VJPH221),4595927,システム,GAIA,システム
DC-6621,GF-320R,52,モニタ,GF-320R,管理部
DC-7024,GF-320R,100,モニタ,GF-320R,管理部
DC-7091,GG-962B,28,検査機器,GG-962B,システム
DC-9244,GZ-130P,1522,モニタ,GZ-130P,管理部
DC-9245,GZ-130P,1523,モニタ,GZ-130P,管理部
DC-9246,GZ-130P,1524,モニタ,GZ-130P,管理部
DC-9247,GZ-130P,1525,モニタ,GZ-130P,管理部
DC-9132,GZ-140P,451,モニタ,GZ-140P,管理部
なし,H333,31099C　①,AED,H333,神奈川GP
なし,H333,31099C　②,AED,H333,厚木MMG
DC-7608,HAMILTON-C1,36201,人工呼吸器,HAMILTON-C1,システム
DC-7609,HAMILTON-C1,36085,人工呼吸器,HAMILTON-C1,システム
なし,HAMILTON-C1/W,43214,人工呼吸器,HAMILTON-C1/W,システム
DC-7153,HAMILTON-C6,3127,人工呼吸器,HAMILTON-C6,システム
DC-7175,HAMILTON-C6,3465,人工呼吸器,HAMILTON-C6,システム
DC-9475,HAMILTON-C6,7428,人工呼吸器,HAMILTON-C6,システム
なし,HAMILTON-C6,13037,人工呼吸器,HAMILTON-C6,システム
なし,HAMILTON-H900,2399,人工呼吸器,HAMILTON-H900,システム
なし,HAMILTON-H900,2402,人工呼吸器,HAMILTON-H900,システム
DC-7463,HAMILTON-H900,33460,人工呼吸器,HAMILTON-H900,システム
DC-7464,HAMILTON-H900,33462,人工呼吸器,HAMILTON-H900,システム
DC-8012,HAMILTON-H900,39394,人工呼吸器,HAMILTON-H900,システム
DC-8013,HAMILTON-H900,39395,人工呼吸器,HAMILTON-H900,システム
DC-7592,HAMILTON-T1/H,20401,人工呼吸器,HAMILTON-T1/H,システム
なし,HAMILTON-T1/W,31500,人工呼吸器,HAMILTON-T1/W,システム
DC-6153,HBP-8000,GC000088AF,検査機器,HBP-8000,管理部
DC-7338,HBP-8000,GC000277AF,WJ検査機器,HBP-8000,管理部
DC-10351,HBP-8000,GC000843AF,WJ検査機器,HBP-8000,管理部
DC-7351,HBP-8000用PC,DEMO-27,WJ検査機器,HBP-8000用PC,管理部
DC-7124,HBP-8000用PC&ﾌﾟﾘﾝﾀ,DEMO-14,WJ検査機器,HBP-8000用PC&ﾌﾟﾘﾝﾀ,管理部
DC-10362,HBP-8000用PC＆プリンタ,DEMO-41,WJ検査機器,HBP-8000用PC＆プリンタ,管理部
DC-5377,HFA-RPE3-NK,01L05097A,検査機器,HFA-RPE3-NK,管理部
なし,HPF-0101,5120071,治療器救急関連機器,HPF01,管理部
なし,HPF-0101,5120023,治療器救急関連機器,HPF01,管理部
seirei1,ICE-CIM,17755795,WJ循環器AF,ICE-CIM,循環器
toubu1,ICE-CIM,20179711,WJ循環器AF,ICE-CIM,循環器
seirei1,ICE-TTE,14556P4X119G,WJ循環器AF,ICE-TTE,循環器
seirei1,ICE-ZS3,37572C619A,WJ循環器AF,ICE-ZS3,循環器
なし,ICS-3000,46221022,治療器救急関連機器,ICS-3000,循環器
なし,ICS-3000,46222357,治療器救急関連機器,ICS-3000,循環器
なし,ICS-3000,46233988,治療器救急関連機器,ICS-3000,循環器
なし,ICS-3000BJ,46230439,治療器救急関連機器,ICS-3000BJ,循環器
なし,ICS-3000BJ,46230440,治療器救急関連機器,ICS-3000BJ,循環器
なし,IF-917P,00145,人工呼吸器,IF-917P,システム
なし,IF-917P,00316,人工呼吸器,IF-917P,システム
DC-8056,IF-917P,1350,モニタ,IF-917P,管理部
